topic	url	warc_file	doc_offset	doc_length	sentence_hash	sentence	start_in_text	length_in_text	merged_segments	ANNOTATOR_00	ANNOTATOR_01	ANNOTATOR_02	ANNOTATOR_03	ANNOTATOR_04	ANNOTATOR_05	ANNOTATOR_06	ANNOTATOR_07	ANNOTATOR_08	ANNOTATOR_09	ANNOTATOR_10	ANNOTATOR_11	ANNOTATOR_12	ANNOTATOR_13	ANNOTATOR_14	ANNOTATOR_15	ANNOTATOR_16	ANNOTATOR_17	ANNOTATOR_18	ANNOTATOR_19	ANNOTATOR_20	ANNOTATOR_21	ANNOTATOR_22	ANNOTATOR_23	ANNOTATOR_24	ANNOTATOR_25	ANNOTATOR_26	ANNOTATOR_27	ANNOTATOR_28	ANNOTATOR_29	ANNOTATOR_30	ANNOTATOR_31	ANNOTATOR_32	ANNOTATOR_33	ANNOTATOR_34	ANNOTATOR_35	ANNOTATOR_36	ANNOTATOR_37	ANNOTATOR_38	ANNOTATOR_39	ANNOTATOR_40	ANNOTATOR_41	ANNOTATOR_42	ANNOTATOR_43	ANNOTATOR_44	ANNOTATOR_45	ANNOTATOR_46	ANNOTATOR_47	ANNOTATOR_48	ANNOTATOR_49	ANNOTATOR_50	ANNOTATOR_51	ANNOTATOR_52	ANNOTATOR_53	ANNOTATOR_54	ANNOTATOR_55	ANNOTATOR_56	ANNOTATOR_57	ANNOTATOR_58	ANNOTATOR_59	ANNOTATOR_60	ANNOTATOR_61	ANNOTATOR_62	ANNOTATOR_63	ANNOTATOR_64	ANNOTATOR_65	ANNOTATOR_66	ANNOTATOR_67	ANNOTATOR_68	ANNOTATOR_69	ANNOTATOR_70	ANNOTATOR_71	ANNOTATOR_72	ANNOTATOR_73	ANNOTATOR_74	ANNOTATOR_75	ANNOTATOR_76	ANNOTATOR_77	ANNOTATOR_78	ANNOTATOR_79	ANNOTATOR_80	ANNOTATOR_81	ANNOTATOR_82	ANNOTATOR_83	ANNOTATOR_84	ANNOTATOR_85	ANNOTATOR_86	ANNOTATOR_87	ANNOTATOR_88	ANNOTATOR_89	ANNOTATOR_90	ANNOTATOR_91	ANNOTATOR_92	ANNOTATOR_93	ANNOTATOR_94	ANNOTATOR_95	ANNOTATOR_96	ANNOTATOR_97
abortion	http://www.abortionindia.com/abortion-research.html	crawl-data/CC-MAIN-2016-07/segments/1454702018134.95/warc/CC-MAIN-20160205195338-00121-ip-10-236-182-209.ec2.internal.warc.gz	244189209	9891	ba87a8adf301330ab6cfaee5f7b8f30d		6502	121	('false', '(5,115);', 'pro;')																															('true', None, None)																							('false', '(5,115);', 'pro;')		('true', None, None)																																			('false', '(21,53);', 'pro;')	('true', None, None)						
abortion	http://www.conservapedia.com/Pro-abortion	crawl-data/CC-MAIN-2016-07/segments/1454701157075.54/warc/CC-MAIN-20160205193917-00061-ip-10-236-182-209.ec2.internal.warc.gz	344989629	7103	c30dd94d8c83074c2505f37b8ef9474d		461	119	('false', '(37,30);', 'pro;')																															('true', None, None)					('false', '(0,67);', 'pro;')																		('true', None, None)		('false', '(37,30);', 'pro;')																																				('true', None, None)						
abortion	https://en.wikipedia.org/wiki/Abortion_law	crawl-data/CC-MAIN-2016-07/segments/1454701163512.72/warc/CC-MAIN-20160205193923-00314-ip-10-236-182-209.ec2.internal.warc.gz	791252695	36769	e390da5ff5db9cbfed46b173f2501f29		11968	139	('false', '(0,77);', 'pro;')																																								('true', None, None)																('true', None, None)					('false', '(0,138);', 'pro;')	('true', None, None)																														('false', '(0,77);', 'pro;')						
abortion	http://www.alternet.org/story/151800/10_things_i'd_say_to_the_anti-choice_fanatics_trying_to_end_access_to_abortion?paging=off&current_page=1	crawl-data/CC-MAIN-2016-07/segments/1454701166141.55/warc/CC-MAIN-20160205193926-00169-ip-10-236-182-209.ec2.internal.warc.gz	262753169	28003	1b4a42a628bd0c83b6f16b2832f96cbb		2308	214	('false', '(24,189);', 'pro;')																				('true', None, None)																				('true', None, None)	('true', None, None)																																																			('false', '(24,189);', 'pro;')						('true', None, None)
abortion	http://www.prochoiceaction.org/	crawl-data/CC-MAIN-2016-07/segments/1454701146241.46/warc/CC-MAIN-20160205193906-00234-ip-10-236-182-209.ec2.internal.warc.gz	631022182	5163	3e37b3ad172fee70c09a6fe2ca453439		1507	57	('false', '(0,56);', 'pro;')																															('false', '(9,47);', 'pro;')																																											('false', '(0,56);', 'pro;')								('false', '(0,56);', 'pro;')											('false', '(0,56);', 'pro;')					('false', '(0,56);', 'pro;')
abortion	http://www.prochoiceactionnetwork-canada.org/abortioninfo/misconce.shtml	crawl-data/CC-MAIN-2016-07/segments/1454701158811.82/warc/CC-MAIN-20160205193918-00074-ip-10-236-182-209.ec2.internal.warc.gz	616140285	7691	faa0cd6e0ae033878eea638de38d37d1		12056	112	('false', '(65,46);', 'pro;')																																									('true', None, None)																																	('false', '(0,111);', 'pro;')							('true', None, None)											('false', '(65,46);', 'pro;')						('true', None, None)
abortion	http://www.newsbatch.com/abort.htm	crawl-data/CC-MAIN-2016-07/segments/1454701148758.73/warc/CC-MAIN-20160205193908-00258-ip-10-236-182-209.ec2.internal.warc.gz	552904687	7177	4c66245d4d937b09a3fd0f54af447688		3155	133	('false', '(0,132);', 'pro;')																															('false', '(0,77);', 'pro;')			('false', '(0,77);', 'pro;')							('true', None, None)													('false', '(0,132);', 'pro;')																																										('false', '(0,77);', 'pro;')		
abortion	http://www.womenonwaves.org/es/page/937/free-abortions-for-spanish-women-on-board-women-on-waves-ship	crawl-data/CC-MAIN-2016-07/segments/1454701145519.33/warc/CC-MAIN-20160205193905-00072-ip-10-236-182-209.ec2.internal.warc.gz	750829395	8498	6533662739cf6ee9663cc99c6dca5b5b		962	202	('false', '(0,87);', 'pro;')																																		('true', None, None)							('true', None, None)																					('false', '(0,98);', 'pro;')																										('false', '(0,87);', 'pro;')				('true', None, None)						
abortion	http://www.choicematters.org/2007/12/legal-abortion-arguments-pro-con/	crawl-data/CC-MAIN-2016-07/segments/1454701157472.18/warc/CC-MAIN-20160205193917-00024-ip-10-236-182-209.ec2.internal.warc.gz	328215045	16040	7acd6aed2229e9b12714e73cc0200441		11266	150	('false', '(44,105);', 'pro;')								('false', '(44,105);', 'pro;')							('false', '(44,105);', 'pro;')																('true', None, None)									('true', None, None)																																	('false', '(44,105);', 'pro;')																									
abortion	http://www.prochoiceactionnetwork-canada.org/abortioninfo/teens.shtml	crawl-data/CC-MAIN-2016-07/segments/1454701156627.12/warc/CC-MAIN-20160205193916-00294-ip-10-236-182-209.ec2.internal.warc.gz	606547197	5974	dd87d14a8b7c3bc338736486029ef784		3113	139	('false', '(0,138);', 'pro;')																															('true', None, None)																									('true', None, None)																										('false', '(0,138);', 'pro;')										('true', None, None)				('false', '(0,138);', 'pro;')		
abortion	http://rhrealitycheck.org/article/2008/02/25/need-abortion-will-travel/	crawl-data/CC-MAIN-2016-07/segments/1454701152987.97/warc/CC-MAIN-20160205193912-00065-ip-10-236-182-209.ec2.internal.warc.gz	193859205	21451	4547dc1b91b2efeb09db6d5d982ecdcf		4924	158	('false', '(0,65);', 'pro;')																																				('false', '(0,156);', 'pro;')																				('true', None, None)					('false', '(0,65);(70,46);(122,34);', 'pro;pro;pro;')																															('true', None, None)						('true', None, None)
abortion	http://bmcpublichealth.biomedcentral.com/articles/10.1186/1471-2458-12-743	crawl-data/CC-MAIN-2016-07/segments/1454701157443.43/warc/CC-MAIN-20160205193917-00257-ip-10-236-182-209.ec2.internal.warc.gz	29208601	34233	5ef7b5ee1dcf58f6f497cdd10abfee40		3320	96	('false', '(0,95);', 'pro;')								('false', '(0,95);', 'pro;')																							('false', '(0,95);', 'pro;')			('true', None, None)		('false', '(0,95);', 'pro;')																																																								('false', '(0,95);', 'pro;')						
abortion	http://depts.washington.edu/uwcoe/healthtopics/familyplan/term_facts.html	crawl-data/CC-MAIN-2016-07/segments/1454701162035.80/warc/CC-MAIN-20160205193922-00084-ip-10-236-182-209.ec2.internal.warc.gz	57001466	5222	ed0e3548895e8e9af7fa4c85d2a58104		3472	39	('false', '(0,38);', 'pro;')						('false', '(0,38);', 'pro;')		('false', '(0,24);', 'pro;')																							('false', '(0,38);', 'pro;')									('true', None, None)																																																										('true', None, None)
abortion	http://blog.seattlepi.com/seattlepolitics/2013/07/18/clinics-closure-as-perry-signs-texas-anti-abortion-bill/	crawl-data/CC-MAIN-2016-07/segments/1454701157212.22/warc/CC-MAIN-20160205193917-00125-ip-10-236-182-209.ec2.internal.warc.gz	24426918	33951	b3db97e9b1df345df1be11a2df397a1b		26748	441	('false', '(250,168);', 'pro;')															('false', '(250,189);', 'pro;')																																														('false', '(250,168);', 'pro;')																					('true', None, None)										('true', None, None)						('true', None, None)
