topic	sentence_hash	In-Domain	Cross-Domain
abortion	f661fdf18f68d00146821e1a1e2bb11e	Train	Train
abortion	a9b1adf8698db8d2caebc3c32cd4e8d3	Train	Train
abortion	7acd6aed2229e9b12714e73cc0200441	Train	Train
abortion	ec3d173b4f7070c7aedfb20ce01a906d	Train	Train
abortion	3721631c4acbe978e7823a06497e9e1e	Train	Train
abortion	c6faa6940882331adaa5d77a03b2aa33	Train	Train
abortion	7daf9a6bb7f75ddd2e4c28e78395531b	Train	Train
abortion	636556d703c86762b5c65533483e0fc7	Train	Train
abortion	1cafaf2bb7278918bd4ec8e944666404	Train	Train
abortion	147d5dc655af4a70f4de9e711c45945b	Train	Train
abortion	a12cfbc11ef78f3dcda7b1eb73757aca	Train	Train
abortion	c4c9ddce7e220425a23056a63d1f377f	Train	Train
abortion	ee105ecd3303e531d14e8ceb6df92795	Train	Train
abortion	7e1af272fa9487592aba34593747bf32	Train	Train
abortion	fff80b40adc460640799609b5df48a9b	Train	Train
abortion	0abb3bdfe8696b4eab54428c36477738	Train	Train
abortion	1c6450a4c25bb28515b18a466c690af4	Train	Train
abortion	4e0dc05b55fc396a593e7fb96b0dc25e	Train	Train
abortion	e8912b5db25caf89cd6cdcdde485d022	Train	Train
abortion	baf53aefd8820b13f36c5e82e3f62bc8	Train	Train
abortion	9742544e7432b4e91b35ff33eab67f09	Train	Train
abortion	fae673ec53fbc836d2577f7b3bd44713	Train	Train
abortion	92acd3250b70062cc28a7f9b7d2f159b	Train	Train
abortion	d2989157765a23200151609b71c1a1ec	Train	Train
abortion	68f803ca5c2fb78d17dce8b6f00dd7b7	Train	Train
abortion	280415f3771ad6290640d6fddc47c338	Train	Train
abortion	30921a14b619acbfad4493b113bb8d7a	Train	Train
abortion	69fa6121ada002371d7249a9ec54a229	Train	Train
abortion	b3cb4a58cfc4152cb1cb1263d286ea12	Train	Train
abortion	3ddcece84915e3483ccb862e55cd40e8	Train	Train
abortion	84e3cc25d6613c2b927b2c080064754a	Train	Train
abortion	8b91b50f37387149d3790c11a3750ba9	Train	Train
abortion	3827d2745f57deb27cde3222247f4af0	Train	Train
abortion	62a01ea073c4f1cce56689bb94298f7d	Train	Train
abortion	24d7da47e0f80b76ce5de9dfb8b2efce	Train	Train
abortion	355b369c2a20a61b83633ffd77a7cfa9	Train	Train
abortion	f521ec494c2de976428508069268a2eb	Train	Train
abortion	428d9126c34827c6809a9ceea5af40f9	Train	Train
abortion	0ec020792cac8252326ecfb050f61c1d	Train	Train
abortion	c6e449c457dd24dce967454e748c045a	Train	Train
abortion	702e1f9d2682436166aa296e40c41ab1	Train	Train
